DateTime,AddedIPs,RemovedIPs
1613980889,52,0
1613982765,10,4
1613982875,136,126
1613984655,10,7
1613985303,62,2
1613985454,50,76
1613986568,47,83
1613988525,62,37
1613990406,11,9
1613990817,125,95
1613992328,19,511
1613992587,66,72
